win,lose,probability
Toronto Raptors,New Orleans Pelicans,0.8801063553396783
Los Angeles Clippers,Los Angeles Lakers,0.6272110389627583
Charlotte Hornets,Chicago Bulls,0.8473355692495161
Indiana Pacers,Detroit Pistons,0.6677421294577305
Orlando Magic,Cleveland Cavaliers,0.9252812342191216
Brooklyn Nets,Minnesota Timberwolves,0.6024552498929203
Miami Heat,Memphis Grizzlies,0.6207274689481502
Philadelphia 76ers,Boston Celtics,0.6599130710522976
Dallas Mavericks,Washington Wizards,0.5398541926006987
San Antonio Spurs,New York Knicks,0.9552865389107051
Utah Jazz,Oklahoma City Thunder,0.5086172287814706
Sacramento Kings,Phoenix Suns,0.8548429732409737
Portland Trail Blazers,Denver Nuggets,0.5234933898556607
Detroit Pistons,Atlanta Hawks,0.735003017171779
Houston Rockets,Milwaukee Bucks,0.5211775817181349
Golden State Warriors,Los Angeles Clippers,0.7608551305478638
Toronto Raptors,Boston Celtics,0.6089165163947278
Charlotte Hornets,Minnesota Timberwolves,0.6054551821892619
Brooklyn Nets,New York Knicks,0.9008391426938686
Memphis Grizzlies,Chicago Bulls,0.8295202524329126
New Orleans Pelicans,Dallas Mavericks,0.5587392613382021
Oklahoma City Thunder,Washington Wizards,0.8088841953477255
Denver Nuggets,Phoenix Suns,0.969431355079399
Portland Trail Blazers,Sacramento Kings,0.7097490844876632
Utah Jazz,Los Angeles Lakers,0.5443491997819111
Milwaukee Bucks,Miami Heat,0.789676731309246
Philadelphia 76ers,Detroit Pistons,0.7302921776886402
Orlando Magic,Atlanta Hawks,0.7427458109267042
Boston Celtics,New York Knicks,0.9305925094191445
Toronto Raptors,Chicago Bulls,0.9410776527062776
Indiana Pacers,Cleveland Cavaliers,0.8966197969370782
Houston Rockets,New Orleans Pelicans,0.8271594076397497
San Antonio Spurs,Washington Wizards,0.80091416885195
Utah Jazz,Sacramento Kings,0.7452004406860623
Los Angeles Clippers,Phoenix Suns,0.9204142762934764
Golden State Warriors,Oklahoma City Thunder,0.5570758012248314
Memphis Grizzlies,Brooklyn Nets,0.5336171113889255
Portland Trail Blazers,Dallas Mavericks,0.7469559219563335
Miami Heat,Minnesota Timberwolves,0.5247670518958781
Los Angeles Lakers,Charlotte Hornets,0.6118544442595643
Chicago Bulls,New York Knicks,0.6056490843743902
Indiana Pacers,Detroit Pistons,0.5492628421539032
Toronto Raptors,Orlando Magic,0.7952718860341144
Philadelphia 76ers,Atlanta Hawks,0.8614053201200512
Houston Rockets,Oklahoma City Thunder,0.5978710274415289
Milwaukee Bucks,Cleveland Cavaliers,0.9681017133856673
Golden State Warriors,New Orleans Pelicans,0.8100242328089357
San Antonio Spurs,Portland Trail Blazers,0.5373849936028224
Utah Jazz,Phoenix Suns,0.9300831747563271
Denver Nuggets,Sacramento Kings,0.7433619505466804
Los Angeles Clippers,Charlotte Hornets,0.6797886033753779
Miami Heat,Atlanta Hawks,0.7829651431403051
Denver Nuggets,Dallas Mavericks,0.8472809263626925
Los Angeles Lakers,Memphis Grizzlies,0.6433728039023936
Chicago Bulls,Cleveland Cavaliers,0.5965701531845821
Orlando Magic,New York Knicks,0.9279441753837587
Philadelphia 76ers,Minnesota Timberwolves,0.8240552008463178
Milwaukee Bucks,Boston Celtics,0.554825855887983
Indiana Pacers,Brooklyn Nets,0.5169214261869675
Toronto Raptors,Detroit Pistons,0.8600557175603022
Oklahoma City Thunder,Portland Trail Blazers,0.5499770703609347
Houston Rockets,Washington Wizards,0.7459931020639446
Sacramento Kings,Charlotte Hornets,0.5089972563229995
Utah Jazz,Los Angeles Clippers,0.5982764057955329
Golden State Warriors,Phoenix Suns,0.9763359808923042
Miami Heat,Atlanta Hawks,0.7075003528213418
Denver Nuggets,New Orleans Pelicans,0.7666762316553581
San Antonio Spurs,Los Angeles Clippers,0.5143447870552241
Houston Rockets,Brooklyn Nets,0.6782135015920184
Indiana Pacers,Cleveland Cavaliers,0.9245655971368407
Milwaukee Bucks,Orlando Magic,0.6444852494478506
Boston Celtics,New York Knicks,0.9493205905734722
Detroit Pistons,Chicago Bulls,0.776442178837109
Los Angeles Lakers,Dallas Mavericks,0.5950335877240149
Utah Jazz,Sacramento Kings,0.6449662924271673
Golden State Warriors,San Antonio Spurs,0.6985026523832102
Oklahoma City Thunder,New Orleans Pelicans,0.8089104806533551
Detroit Pistons,Brooklyn Nets,0.5309035759345478
Denver Nuggets,Orlando Magic,0.6284883707964857
Memphis Grizzlies,Phoenix Suns,0.898002188642948
Milwaukee Bucks,Toronto Raptors,0.5197302093974968
Washington Wizards,Minnesota Timberwolves,0.5209688969136052
Golden State Warriors,Charlotte Hornets,0.8389414744678945
Portland Trail Blazers,Philadelphia 76ers,0.5256282501112021
Indiana Pacers,Chicago Bulls,0.8849285632578091
Houston Rockets,Miami Heat,0.6485521259250855
Sacramento Kings,New York Knicks,0.8485996167802864
San Antonio Spurs,Los Angeles Lakers,0.7000316001611172
Dallas Mavericks,Cleveland Cavaliers,0.8236836571989428
Los Angeles Clippers,Utah Jazz,0.5299197736382251
Washington Wizards,Detroit Pistons,0.5068916746225639
Brooklyn Nets,New Orleans Pelicans,0.6311222749913472
Houston Rockets,Memphis Grizzlies,0.7036323979165917
Milwaukee Bucks,Minnesota Timberwolves,0.7540988952213513
Philadelphia 76ers,Phoenix Suns,0.9546068606253522
Golden State Warriors,Portland Trail Blazers,0.6726542485898768
Indiana Pacers,Charlotte Hornets,0.5137889136254066
Boston Celtics,Cleveland Cavaliers,0.9281065471738196
San Antonio Spurs,Atlanta Hawks,0.8243725665902936
Los Angeles Lakers,Chicago Bulls,0.8337036602621846
Oklahoma City Thunder,Orlando Magic,0.6913652598514693
Denver Nuggets,Miami Heat,0.7755717720040728
Detroit Pistons,New York Knicks,0.8886081502039469
Indiana Pacers,Washington Wizards,0.7058899910086373
Atlanta Hawks,Chicago Bulls,0.6770888924280122
Golden State Warriors,Houston Rockets,0.526630084747244
Toronto Raptors,Sacramento Kings,0.8656597196846495
Memphis Grizzlies,Minnesota Timberwolves,0.5736170842233264
Orlando Magic,Dallas Mavericks,0.6169236035740215
Philadelphia 76ers,Utah Jazz,0.5497500584645287
Milwaukee Bucks,Los Angeles Clippers,0.6024913506321381
Boston Celtics,Charlotte Hornets,0.6113314963958256
San Antonio Spurs,Oklahoma City Thunder,0.555560180860114
Miami Heat,Phoenix Suns,0.8911170012146505
Portland Trail Blazers,Los Angeles Clippers,0.5442236762459022
Indiana Pacers,Detroit Pistons,0.6677421294577305
Orlando Magic,Memphis Grizzlies,0.670111914725437
Washington Wizards,Cleveland Cavaliers,0.8624320427476785
Sacramento Kings,Atlanta Hawks,0.6351035704278123
Golden State Warriors,Minnesota Timberwolves,0.7878436821889083
